name,title,char,color,cost,num,generate,damage,repair,shield,stall,short,hack,teleport,action_targeting,range,description
polyurethane_integument,Polyurethane Integument,⎅,#8ec07c,1,1,0,0,0,1,0,0,0,0,burst_targeting,0,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
photovoltaic_generator,Photovoltaic Generator,⋣,#fe8019,4,2,9,0,1,0,0,0,0,0,burst_targeting,0,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
polethylene_integument,Polyethylene Integument,⎅,#8ec07c,1,3,0,0,0,1,0,0,0,0,burst_targeting,0,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
broken_gear,Broken Gear,⑈,#8ec07c,1,4,0,0,0,0,0,0,0,0,burst_targeting,0,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
gas_generator,Gas Generator,⋣,#8ec07c,1,5,2,0,0,0,0,0,0,0,burst_targeting,0,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
photovoltaic_integument,Photovoltaic Integument,⎅,#8ec07c,1,6,2,0,0,2,0,0,0,0,burst_targeting,0,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
thermoelectric_integument,Thermoelectric Integument,⎅,#fe8019,4,7,7,0,0,3,0,0,0,0,burst_targeting,0,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
gallium_generator,Gallium Generator,⋣,#8ec07c,1,8,2,0,0,0,0,0,0,0,burst_targeting,0,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
mossbauer_generator,Mossbauer Sink,⥂,#8ec07c,1,9,4,0,0,0,0,0,0,0,burst_targeting,0,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
aluminum_integument,Aluminum Integument,⎅,#8ec07c,1,10,0,0,0,2,0,0,0,0,burst_targeting,0,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. 
