line,text,size,x,y,color,hover_color,link,menu,function_call,align
title,RoveR,120,6.5,5,#ebdbb2,#ebdbb2,title,title,passive_call,center
version,V 0.7:'Sojourner',20,5.1,4.2,#689d6a,#689d6a,title,title,passive_call,center
title_newgame,New Game,20,6.5,3,#3c3836,#83a598,character,title,passive_call,center
title_countinue,Countinue,20,6.5,2.25,#3c3836,#83a598,about,title,passive_call,center
title_help,Help,20,6.5,1.5,#3c3836,#83a598,about,title,passive_call,center
title_about,About,20,6.5,0.75,#3c3836,#83a598,about,title,passive_call,center
title_newgame_,⫍⫎,80,6.5,3,#3c3836,#83a598,about,title,passive_call,center
title_countinue_,⫍⫎,80,6.5,2.25,#3c3836,#83a598,about,title,passive_call,center
title_help_,⫍⫎,80,6.5,1.5,#3c3836,#83a598,about,title,passive_call,center
title_about_,⫍⫎,80,6.5,0.75,#3c3836,#83a598,about,title,passive_call,center
nub,╼,50,5.1,3,#3c3836,#3c3836,title,title,passive_call,center
nub,╼,50,5.1,2.25,#3c3836,#3c3836,title,title,passive_call,center
nub,╼,50,5.1,1.5,#3c3836,#3c3836,title,title,passive_call,center
nub,╼,50,5.1,0.75,#3c3836,#3c3836,title,title,passive_call,center
nub,│,150,4.7,2,#3c3836,#3c3836,title,title,passive_call,center
nub,⫯,80,4.7,3.5,#3c3836,#3c3836,title,title,passive_call,center
about_one,RoveR is a roguelike about a planetary rover created by foxfields using R.,20,6.5,3,#eee8d5,#eee8d5,about,about,passive_call,center
about_two,It could not have been developed without the tutorial series and support,20,6.5,2.66,#eee8d5,#eee8d5,about,about,passive_call,center
about_three,of the r/roguelikedev community. For more information,20,6.5,2.33,#eee8d5,#eee8d5,about,about,passive_call,center
about_four,repository (https://github.com/fox-fields/RoveR) or email (foxfields0@gmail.com).,20,6.5,2,#eee8d5,#eee8d5,about,about,passive_call,center
about_back,Back,20,9.5,1,#2aa198,#cb4b16,title,about,passive_call,center
poly_chassis_one,Polyethylene Chassis,25,1.5,5,#689d6a,#689d6a,character,character,passive_call,center
poly_chassis_two,Module Slots: 2 units<br>Melee Power: 2 J s<sup>-1</sup><br>Hull Integrity: 20 J m<sup>-3</sup><br>Transport Cost: 1 J m<sup>-1</sup><br>,20,1.5,3.5,#eee8d5,#eee8d5,character,character,passive_call,center
alum_chassis_one,Aluminum Chassis,25,6.25,5,#83a598,#83a598,character,character,passive_call,center
alum_chassis_two,Module Slots: 3 units<br>Melee Power: 4 J s<sup>-1</sup><br>Hull Integrity: 40 J m<sup>-3</sup><br>Transport Cost: 3 J m<sup>-1</sup><br>,20,6.25,3.5,#eee8d5,#eee8d5,character,character,passive_call,center
tita_chassis_one,Titanium Chassis,25,11,5,#fabd2f,#fabd2f,character,character,passive_call,center
tita_chassis_two,Module Slots: 3 units<br>Melee Power: 3 J s<sup>-1</sup><br>Hull Integrity: 80 J m<sup>-3</sup><br>Transport Cost: 8 J m<sup>-1</sup><br>,20,11,3.5,#eee8d5,#eee8d5,character,character,passive_call,center
poly_icon,⫘,90,1.5,6,#689d6a,#689d6a,character,character,passive_call,center
alum_icon,⧦,90,6.25,6,#83a598,#83a598,character,character,passive_call,center
tita_icon,⟗,90,11,6,#fabd2f,#fabd2f,character,character,passive_call,center
poly_select,⫍⫎,80,1.5,2,#3c3836,#83a598,poly_class,character,poly_select,center
alum_select,⫍⫎,80,6.25,2,#3c3836,#83a598,alum_class,character,passive_call,center
tita_select,⫍⫎,80,11,2,#3c3836,#83a598,tita_class,character,passive_call,center
poly_select,Select,20,1.5,2,#3c3836,#83a598,poly_class,character,passive_call,center
alum_select,Select,20,6.25,2,#3c3836,#83a598,alum_class,character,passive_call,center
tita_select,Select,20,11,2,#3c3836,#83a598,tita_class,character,passive_call,center
nub,╼,50,0.1,2,#3c3836,#3c3836,character,character,passive_call,center
nub,╼,50,4.85,2,#3c3836,#3c3836,character,character,passive_call,center
nub,╼,50,9.6,2,#3c3836,#3c3836,character,character,passive_call,center
nub,⫯,50,-0.1,2.3,#3c3836,#3c3836,character,character,passive_call,center
nub,⫯,50,4.65,2.3,#3c3836,#3c3836,character,character,passive_call,center
nub,⫯,50,9.4,2.3,#3c3836,#3c3836,character,character,passive_call,center
back_char,Back,20,-1,0.5,#3c3836,#83a598,title,character,passive_call,center
back_select,⫍⫎,80,-1,0.5,#3c3836,#83a598,title,character,passive_call,center
nub,╼,50,-2.4,0.5,#3c3836,#3c3836,title,character,passive_call,center
nub,⟜,30,-2.6,0.63,#3c3836,#3c3836,title,character,passive_call,center
one_back,◀,60,4,4.5,#3c3836,#83a598,poly_class,poly_class,slot_one_b,center
one_forward,▶,60,12,3,#3c3836,#83a598,poly_class,poly_class,slot_two_f,center
two_back,◀,60,4,3,#3c3836,#83a598,poly_class,poly_class,slot_two_b,center
two_forward,▶,60,12,4.5,#3c3836,#83a598,poly_class,poly_class,slot_one_f,center
one_back,◀,60,4,4.50001,#3c3836,#83a598,poly_class2,poly_class2,slot_one_b,center
one_forward,▶,60,12,3.0001,#3c3836,#83a598,poly_class2,poly_class2,slot_two_f,center
two_back,◀,60,4,3.0001,#3c3836,#83a598,poly_class2,poly_class2,slot_two_b,center
two_forward,▶,60,12,4.50001,#3c3836,#83a598,poly_class2,poly_class2,slot_one_f,center
one_back,◀,60,4,4.5,#3c3836,#83a598,alum_class,alum_class,slot_one_b,center
one_forward,▶,60,12,3,#3c3836,#83a598,alum_class,alum_class,slot_two_f,center
two_back,◀,60,4,3,#3c3836,#83a598,alum_class,alum_class,slot_two_b,center
two_forward,▶,60,12,4.5,#3c3836,#83a598,alum_class,alum_class,slot_one_f,center
three_back,◀,60,4,1.5,#3c3836,#83a598,alum_class,alum_class,slot_three_b,center
three_forward,▶,60,12,1.5,#3c3836,#83a598,alum_class,alum_class,slot_three_f,center
one_back,◀,60,4,4.50001,#3c3836,#83a598,alum_class2,alum_class2,slot_one_b,center
one_forward,▶,60,12,3.0001,#3c3836,#83a598,alum_class2,alum_class2,slot_two_f,center
two_back,◀,60,4,3.0001,#3c3836,#83a598,alum_class2,alum_class2,slot_two_b,center
two_forward,▶,60,12,4.50001,#3c3836,#83a598,alum_class2,alum_class2,slot_one_f,center
three_back,◀,60,4,1.50001,#3c3836,#83a598,alum_class2,alum_class2,slot_three_b,center
three_forward,▶,60,12,1.50001,#3c3836,#83a598,alum_class2,alum_class2,slot_three_f,center
one_back,◀,60,4,4.5,#3c3836,#83a598,tita_class,tita_class,slot_one_b,center
one_forward,▶,60,12,3,#3c3836,#83a598,tita_class,tita_class,slot_two_f,center
two_back,◀,60,4,3,#3c3836,#83a598,tita_class,tita_class,slot_two_b,center
two_forward,▶,60,12,4.5,#3c3836,#83a598,tita_class,tita_class,slot_one_f,center
three_back,◀,60,4,1.5,#3c3836,#83a598,tita_class,tita_class,slot_three_b,center
three_forward,▶,60,12,1.5,#3c3836,#83a598,tita_class,tita_class,slot_three_f,center
one_back,◀,60,4,4.50001,#3c3836,#83a598,tita_class2,tita_class2,slot_one_b,center
one_forward,▶,60,12,3.0001,#3c3836,#83a598,tita_class2,tita_class2,slot_two_f,center
two_back,◀,60,4,3.0001,#3c3836,#83a598,tita_class2,tita_class2,slot_two_b,center
two_forward,▶,60,12,4.50001,#3c3836,#83a598,tita_class2,tita_class2,slot_one_f,center
three_back,◀,60,4,1.50001,#3c3836,#83a598,tita_class2,tita_class2,slot_three_b,center
three_forward,▶,60,12,1.50001,#3c3836,#83a598,tita_class2,tita_class2,slot_three_f,center
poly_chassis_one,Polyethylene Chassis,25,1,4,#689d6a,#689d6a,poly_class,poly_class,passive_call,center
poly_chassis_two,Module Slots: 2 units<br>Melee Power: 2 J s<sup>-1</sup><br>Hull Integrity: 20 J m<sup>-3</sup><br>Transport Cost: 1 J m<sup>-1</sup><br>,20,1,2.5,#eee8d5,#eee8d5,poly_class,poly_class,passive_call,center
alum_chassis_one,Aluminum Chassis,25,1,4,#83a598,#83a598,alum_class,alum_class,passive_call,center
alum_chassis_two,Module Slots: 3 units<br>Melee Power: 4 J s<sup>-1</sup><br>Hull Integrity: 40 J m<sup>-3</sup><br>Transport Cost: 3 J m<sup>-1</sup><br>,20,1,2.5,#eee8d5,#eee8d5,alum_class,alum_class,passive_call,center
tita_chassis_one,Titanium Chassis,25,1,4,#fabd2f,#fabd2f,tita_class,tita_class,passive_call,center
tita_chassis_two,Module Slots: 3 units<br>Melee Power: 3 J s<sup>-1</sup><br>Hull Integrity: 80 J m<sup>-3</sup><br>Transport Cost: 8 J m<sup>-1</sup><br>,20,1,2.5,#eee8d5,#eee8d5,tita_class,tita_class,passive_call,center
poly_icon,⫘,90,1,5,#689d6a,#689d6a,poly_class,poly_class,passive_call,center
alum_icon,⧦,90,1,5,#83a598,#83a598,alum_class,alum_class,passive_call,center
tita_icon,⟗,90,1,5,#fabd2f,#fabd2f,tita_class,tita_class,passive_call,center
poly_chassis_one,Polyethylene Chassis,25,1,4,#689d6a,#689d6a,poly_class2,poly_class2,passive_call,center
poly_chassis_two,Module Slots: 2 units<br>Melee Power: 2 J s<sup>-1</sup><br>Hull Integrity: 20 J m<sup>-3</sup><br>Transport Cost: 1 J m<sup>-1</sup><br>,20,1,2.5,#eee8d5,#eee8d5,poly_class2,poly_class2,passive_call,center
alum_chassis_one,Aluminum Chassis,25,1,4,#83a598,#83a598,alum_class2,alum_class2,passive_call,center
alum_chassis_two,Module Slots: 3 units<br>Melee Power: 4 J s<sup>-1</sup><br>Hull Integrity: 40 J m<sup>-3</sup><br>Transport Cost: 3 J m<sup>-1</sup><br>,20,1,2.5,#eee8d5,#eee8d5,alum_class2,alum_class2,passive_call,center
tita_chassis_one,Titanium Chassis,25,1,4,#fabd2f,#fabd2f,tita_class2,tita_class2,passive_call,center
tita_chassis_two,Module Slots: 3 units<br>Melee Power: 3 J s<sup>-1</sup><br>Hull Integrity: 80 J m<sup>-3</sup><br>Transport Cost: 8 J m<sup>-1</sup><br>,20,1,2.5,#eee8d5,#eee8d5,tita_class2,tita_class2,passive_call,center
poly_icon,⫘,90,1,5,#689d6a,#689d6a,poly_class2,poly_class2,passive_call,center
alum_icon,⧦,90,1,5,#83a598,#83a598,alum_class2,alum_class2,passive_call,center
tita_icon,⟗,90,1,5,#fabd2f,#fabd2f,tita_class2,tita_class2,passive_call,center
tita_select,⫍⫎,80,11,0.5,#3c3836,#83a598,quest,tita_class2,start_game,center
tita_select,Select,20,11,0.5,#3c3836,#83a598,quest,tita_class2,start_game,center
tita_select,⫍⫎,80,11,0.50001,#3c3836,#83a598,quest,tita_class,start_game,center
tita_select,Select,20,11,0.50001,#3c3836,#83a598,quest,tita_class,start_game,center
,> Start up complete <br>> Listening on UAC//0167.0.1 <br>> Transmission received <br>,20,-2,5,#eee8d5,#eee8d5,quest,quest,passive_call,right
,> Do not forgive us. We understood our actions. <br>,20,-2,5,#689d6a,#689d6a,quest1,quest1,passive_call,right
,"> Do not forgive us. We understood our actions. <br>> Yet, we cry for help. Our lives are in your hands; lives lived consuming as if we had <br>> not four, but many planets. We stole our future, and we must give it back.<br>",20,-2,5,#689d6a,#689d6a,quest2,quest2,passive_call,right
,"> Do not forgive us. We understood our actions. <br>> Yet, we cry for help. Our lives are in your hands; lives lived consuming as if we had <br>> not four, but many planets. We stole our future, and we must give it back.<br>> We have to change. It is time to rebel. <br>",20,-2,5,#689d6a,#689d6a,quest3,quest3,passive_call,right
,"> Shut down our four automated factories. You will find one on each our system's <br>> planets. Clog the machinery, destroy the wardens, and free us from ourselves. ",20,-2,5,#fabd2f,#fabd2f,quest4,quest4,passive_call,right
tita_select,⫍⫎,80,11,0.50002,#3c3836,#83a598,quest1,quest,passive_call,center
tita_select,Next,20,11,0.50002,#3c3836,#83a598,quest1,quest,passive_call,center
tita_select,⫍⫎,80,11,0.50001,#3c3836,#83a598,quest2,quest1,passive_call,center
tita_select,Next,20,11,0.50001,#3c3836,#83a598,quest2,quest1,passive_call,center
tita_select,⫍⫎,80,11,0.50002,#3c3836,#83a598,quest3,quest2,passive_call,center
tita_select,Next,20,11,0.50002,#3c3836,#83a598,quest3,quest2,passive_call,center
tita_select,⫍⫎,80,11,0.50001,#3c3836,#83a598,quest4,quest3,passive_call,center
tita_select,Next,20,11,0.50001,#3c3836,#83a598,quest4,quest3,passive_call,center
tita_select,⫍⫎,80,5,0.50002,#3c3836,#83a598,quest4,quest4,start_game,center
tita_select,Begin,20,5,0.50002,#3c3836,#83a598,quest4,quest4,start_game,center
